account_id,name,country,account_type
ACC-00847291,Ortega Retail Wallet,SPAIN,INDIVIDUAL
ACC-00391074,Iberia Settlement Hub,SPAIN,BUSINESS
ACC-00562883,Lusitania Wholesale,PORTUGAL,BUSINESS
ACC-00719046,Atlante Advisory,PORTUGAL,INDIVIDUAL
ACC-00204517,Costa Trade Services,SPAIN,INDIVIDUAL
ACC-00990001,Benelux Transit,BELGIUM,BUSINESS
ACC-00150000,Nordic Industrial GmbH,GERMANY,BUSINESS
ACC-00180000,Desert Bridge Holdings,UNITED ARAB EMIRATES,BUSINESS
ACC-00450012,Paris Liquidity Desk,FRANCE,BUSINESS
ACC-00670001,Ana Mena,SPAIN,INDIVIDUAL
ACC-00670002,Luca Ferrer,SPAIN,INDIVIDUAL
ACC-00670003,Marta Valdivia,ITALY,INDIVIDUAL
ACC-00670004,Noah Klein,NETHERLANDS,INDIVIDUAL
ACC-00670005,Helena Strauss,GERMANY,INDIVIDUAL
ACC-00670006,Piotr Zielinski,POLAND,INDIVIDUAL
ACC-00670007,Joao Mendes,PORTUGAL,INDIVIDUAL
ACC-00670008,Eva Novak,CZECHIA,INDIVIDUAL
ACC-00670009,Lena Fuchs,AUSTRIA,INDIVIDUAL
ACC-00670010,Radu Popescu,ROMANIA,INDIVIDUAL
ACC-00670011,Sofia Pappas,GREECE,INDIVIDUAL
ACC-00910001,Lagos Node 01,NIGERIA,INDIVIDUAL
ACC-00910002,Caracas Node 01,VENEZUELA,BUSINESS
ACC-00910003,Lagos Node 02,NIGERIA,INDIVIDUAL
ACC-00910004,Caracas Node 02,VENEZUELA,INDIVIDUAL
ACC-00910005,Abuja Node 01,NIGERIA,INDIVIDUAL
ACC-00910006,Maracaibo Node,VENEZUELA,INDIVIDUAL
ACC-00910007,Kano Node,NIGERIA,BUSINESS
ACC-00910008,Valencia Node,VENEZUELA,BUSINESS
ACC-00910009,Cape Transit,SOUTH AFRICA,INDIVIDUAL
ACC-00910010,Nairobi Corridor,KENYA,INDIVIDUAL
ACC-00910011,Sevilla Retail 1,SPAIN,INDIVIDUAL
ACC-00910012,Sevilla Retail 2,SPAIN,INDIVIDUAL
ACC-00910013,Sevilla Retail 3,SPAIN,INDIVIDUAL
ACC-00910014,Barcelona Payroll,SPAIN,INDIVIDUAL
ACC-00910015,Valencia Payroll,SPAIN,INDIVIDUAL
ACC-00910016,London Broker,UNITED KINGDOM,BUSINESS
ACC-00910017,Zurich Treasury,SWITZERLAND,BUSINESS
ACC-00910018,Zagreb Relay,CROATIA,INDIVIDUAL
ACC-00910019,Windhoek Relay,NAMIBIA,INDIVIDUAL
ACC-00910020,Hanoi Relay,VIETNAM,INDIVIDUAL
