account_id,name,country,account_type
ACC-ORIGIN,Origin Customer,SPAIN,INDIVIDUAL
ACC-SMURF,North Market Wallet,SPAIN,INDIVIDUAL
ACC-BEN-01,Beneficiary One,SPAIN,INDIVIDUAL
ACC-BEN-02,Beneficiary Two,PORTUGAL,INDIVIDUAL
ACC-BEN-03,Beneficiary Three,FRANCE,INDIVIDUAL
ACC-BEN-04,Beneficiary Four,GERMANY,INDIVIDUAL
ACC-BEN-05,Beneficiary Five,ITALY,INDIVIDUAL
ACC-FANIN,Iberia Collection Account,SPAIN,BUSINESS
ACC-SEND-01,Sender One,FRANCE,INDIVIDUAL
ACC-SEND-02,Sender Two,GERMANY,INDIVIDUAL
ACC-SEND-03,Sender Three,ITALY,INDIVIDUAL
ACC-SEND-04,Sender Four,PORTUGAL,INDIVIDUAL
ACC-SEND-05,Sender Five,NETHERLANDS,INDIVIDUAL
ACC-FANOUT,Distribution Services,SPAIN,BUSINESS
ACC-REC-01,Receiver One,SPAIN,INDIVIDUAL
ACC-REC-02,Receiver Two,PORTUGAL,INDIVIDUAL
ACC-REC-03,Receiver Three,FRANCE,INDIVIDUAL
ACC-REC-04,Receiver Four,GERMANY,INDIVIDUAL
ACC-REC-05,Receiver Five,ITALY,INDIVIDUAL
ACC-GEO,Travel Import Trader,SPAIN,BUSINESS
ACC-HR-01,High Risk Counterparty One,IRAN,BUSINESS
ACC-HR-02,High Risk Counterparty Two,MYANMAR,BUSINESS
ACC-CIRC-A,Circular Account A,SPAIN,BUSINESS
ACC-CIRC-B,Circular Account B,PORTUGAL,BUSINESS
ACC-CIRC-C,Circular Account C,FRANCE,BUSINESS
